Frequency,Nominal,Min,Max
25300.000000000153,-689.5596177451771,-799.9116193339242,-564.7383307532683
25442.768103518734,-700.1835656811871,-810.41813124265,-577.7912664464743
25586.34184859393,-710.9252403780376,-821.1299543349435,-589.9362438026637
25730.72578146752,-721.7269873758947,-832.2228700308793,-601.2522549132701
25875.92447403577,-732.5223353367362,-843.9004344497953,-611.9177251661044
26021.942523994196,-743.2445590990422,-856.3626753871927,-622.1344246330018
26168.784554983136,-753.8352191626136,-869.7376775128778,-632.0886912350061
26316.455216734175,-764.2516985149391,-883.9717304536787,-641.9365625972213
26464.95918521737,-774.4730904011782,-898.724505170452,-651.8002572144977
26614.30116278931,-784.5043085944598,-913.3812358737382,-661.7688230565099
26764.485878342028,-794.3787837228181,-927.2493315436489,-671.8998362007178
26915.51808745273,-804.1603958950867,-939.8176691672834,-682.2212820119902
27067.402572534378,-813.9452552324842,-950.8860958546369,-692.7338240424176
27220.144142987134,-823.8634474885317,-960.4790255327248,-703.4140619203279
27373.74763535064,-834.0796248108707,-968.7522533963025,-714.1218694579246
27528.21791345717,-844.7887568443314,-975.9073570586082,-724.8747194760632
27683.55986858565,-856.1987707993856,-982.1359637178925,-735.6073592908358
27839.778419616523,-868.4860401027123,-987.6020453458767,-746.2559267074406
27996.87851318752,-881.7102128329686,-992.4394198860899,-756.7671297018071
28154.865123850283,-895.7012564210371,-996.755142114385,-767.1052374230934
28313.743254227895,-909.9946994562417,-1000.6343725685514,-777.2574103625577
28473.517935173277,-923.9235363595931,-1004.1449903538598,-787.2373867039443
28634.194225928495,-936.8584934596216,-1007.3414297570121,-797.087970566104
28795.777214284957,-948.4170610487829,-1010.2677002904816,-806.8829551354999
28958.272016744522,-958.5008421954464,-1012.9597068118442,-816.7289391366966
29121.683778681512,-967.2049506003239,-1015.4742768387197,-826.7667836047718
29286.01767450563,-974.7097242359483,-1017.8750012375374,-837.1708262224586
29451.27890782582,-981.2097076374349,-1020.0971503605837,-848.1407633606492
29617.472711615035,-986.8807749524632,-1022.1621687337903,-859.8759338846086
29784.604348375928,-991.8701473076943,-1024.0879789462674,-872.517142889492
29952.679110307505,-996.2968498386382,-1025.8896975357957,-886.0487378978795
30121.70231947269,-1000.2557975462407,-1027.580182322113,-900.1940157572907
30291.679327966853,-1003.8224849189048,-1029.1704551933574,-914.4001046757397
30462.61551808728,-1007.0571698882777,-1030.670031993545,-927.9845721086193
30634.516302503605,-1010.0082738852635,-1032.0871824451829,-940.4069573278537
30807.3871244292,-1012.7150332387242,-1033.429136868746,-951.40187105602
30981.23345779353,-1015.2095298375345,-1034.7022520599553,-960.9535281417932
31156.060807415488,-1017.5182368732733,-1035.9121455239335,-969.1957776199514
31331.874709177715,-1019.6631959415613,-1037.063804974695,-976.3167722622221
31508.680730201868,-1021.662917125008,-1038.161678334729,-982.504009742914
31686.484469024927,-1023.5330715642642,-1039.209748235807,-987.921621829858
31865.291555776454,-1025.2870283270634,-1040.2115941051227,-992.705126739881
32045.107652356885,-1026.9362739267356,-1041.170444233365,-996.9635502637103
32225.938452616796,-1028.490742852459,-1042.089219701656,-1000.7837992868546
32407.789682537215,-1029.9590801406698,-1042.9705716483259,-1004.235135317921
32590.667100410927,-1031.3488516539594,-1043.816913052474,-1007.3730174121591
32774.576497024806,-1032.6667138088203,-1044.6304459760509,-1010.2421777643868
32959.52369584318,-1033.9185516116183,-1045.4131850229587,-1012.8790060787736
33145.51455319224,-1035.1095917356363,-1046.1669776298913,-1015.3133734014242
33332.55495844547,-1036.2444957936045,-1046.893521690091,-1017.5700220117102
33520.650834210144,-1037.3274377809087,-1047.5943809209668,-1019.6696264333685
33709.80813651484,-1038.3621687776456,-1048.2709983143538,-1021.6296073000912
33900.03285499806,-1039.3520713258158,-1048.9247079501552,-1023.4647597723144
34091.33101309789,-1040.300205385451,-1049.5567454071656,-1025.1877424413553
34283.708668242725,-1041.2093473798482,-1050.168256966703,-1026.809460756074
34477.171912043064,-1042.0820235356712,-1050.7603077734593,-1028.3393701948562
34671.726870484425,-1042.9205384867132,-1051.333889092377,-1029.7857179357977
34867.37970412131,-1043.7269999244375,-1051.8899247791655,-1031.155737038701
35064.13660827229,-1044.5033399320064,-1052.4292770645745,-1032.455803675903
35262.00381321614,-1045.2513335223678,-1052.9527517379065,-1033.6915653890476
35460.98758438918,-1045.9726148082962,-1053.4611028030547,-1034.8680464542538
35661.09422258361,-1046.6686911579066,-1053.9550366701037,-1035.9897350273757
35862.33006414708,-1047.34095562916,-1054.4352159368793,-1037.0606556836826
36064.70148118327,-1047.9906979281893,-1054.902262807539,-1038.0844301684488
